Symbol,Expected Return (Mean),Standard Deviation
AAPL,0.28820540300087405,0.28912633978348623
AXP,0.23936169171351485,0.3087810343133531
BLK,0.20925717607110816,0.2842104755763547
IBM,0.1956495293981993,0.2395634776129539
V,0.13506391931235223,0.23803492098454776
